Intersection num,Recognized word
1,sign
2,event agecy
3,sign
4,vegetable shop
5,fish store
6,lounge bar
7,arch
6,lounge bar
7,arch
1,bakery
2,event agency
1,bakery
10,vegetable shop
11,tabacheria
2,event agency
3,arch
13,phone sign
12,American bar
11,tobaccheria
2,event agency
3,sign
4,vegetable shop
14,statue
13,phone sign
3,sign
2,event agency 
1,bakery
