Intersection num,Recognized word
1,traffic sign
2,shop
3,trattoria
4,museum
5,kebab
6,shop
7,traffic sign
6,shop
7,traffic sign
1,traffic sign
2,shop
1,traffic sign
10,small square
11,tobacco
2,shop
3,designer
13,door
12,bar
11,tobacco
2,shop
3,designer
4,museum
14,graffiti
13,door
3,designer
2,shop
1,traffic sign
