Intersection num,Recognized word
1,Trattoria
2,arch
3,graffiti
4,square
5,fish shop
6,arch
7,oval 
6,arch
7,oval 
1,Trattoria
2,arch
1,Trattoria
10,icona
11,tabachi
2,arch
3,graffiti
13,telephone sign
12,cafe
11,tabachi
2,arch
3,graffiti
4,square
14,drugstore
13,telephone sign
3,graffiti
2,arch
1,Trattoria
