Intersection num,Recognized word
1,traffic sign
2,black door
3,fraffiti
4,altarino
5,shop
6,traffic sign
7,blue door
6,traffic sign
7,blue door
1,traffic sign
2,black door 
1,traffic sign
10,square
11,toy shop
2,black soor
3,fgraffiti
13,black door
12,coffee shop
11,toy sop
2,black door 
3,graffiti
4,altarino
14,graffiti
13,black door 
3,graffiti
2,black door
1,traffic sign
