Intersection num,Recognized word
1,Graffiti
2,shop
3,Design shop
4,Small square
5,Kebab
6,fish shop
7,Lights
6,fish shop
7,Lights
1,Graffiti
2,Shop
1,Graffiti
10,Small square
11,tobacco shop
2,shop
3,interior design shop
13,sign
12,coffee shop
11,store
2,shop
3,interior design shop
4,small square
14,pharmacy
13,coffee shop
3,interior design
2,shop
1,graffiti
